,user,user_id,item,item_id,rating
0,A3OPCQYY5JM2TJ,2718,B00005K9KP,1920,4
1,A33B5M5CE7ZX7C,1038,B00000DHZO,1530,5
2,A1C41MSY3EAG00,5502,B006M4RN3U,3272,5
3,A1OJQAJ16T36VJ,2424,B0007US8ES,2446,4
4,A3VZVYWCTGIEV0,573,B000002PD7,1035,4
5,A2QOI0S9Y457VW,3392,B00005NHJS,1950,3
6,A9Q28YTLYREO7,294,B000002ASA,579,4
7,A2573DI05QACMP,2421,B0009FGWUS,2468,5
8,A1DAPB4HB2M7VM,4295,B00004S80U,1750,4
9,A1RNSJIOGBUYCC,5537,B00CAZOHDO,3474,5
10,AK1IRCJ6VRS8P,4855,B0000AGWGD,2225,3
11,AYMZTWBG0V53W,930,B0001AP0OU,2289,5
12,A23M4BV6I1GGYC,5451,B0050CJNJ2,3200,5
13,AQ4EDJDXBJUC7,183,B000002OVJ,1002,5
14,A2U49LUUY4IKQQ,239,B000002KOQ,825,5
15,AMKZHBOK7VMQR,829,B000000IS5,81,5
16,ADJBUPS8SJHTC,4615,B000065625,2044,5
17,A1NVEW628JUS2Y,844,B0007WF1XC,2450,1
18,A1KDEDXOWABBQ6,380,B00006ZCFI,2124,1
19,A34F7JSAHJG0ZV,2850,B002EWD08Q,3004,3
20,AVHCWL9AHLEL9,304,B000009QO1,1476,5
21,A33ZT5W6WTQUS9,1436,B0000039Q3,1191,4
22,A34DTBYOTFP4RX,1710,B0000026WD,520,3
23,A1EYSN1T55SV7U,904,B000001EC1,239,4
24,A3AL8GQ69QE7WN,858,B000001EG6,245,5
25,A5K5UQT9XAAZP,3916,B00004XQZS,1820,5
26,AGAMDS21PJZPK,1391,B0000CC4VD,2254,4
27,A2872PI8C2CQ7E,972,B000002KME,815,1
28,A4BZL4QN3JOKE,4652,B0006IGGLS,2419,4
29,AM1KNF1AK97SP,3585,B00000IL0O,1595,3
30,A2R6RA8FRBS608,220,B000002W21,1124,4
31,A2LNEZD3YBO12O,319,B00005O6IR,1970,4
32,A3FYKYY3BR4NN2,935,B000000OQS,93,4
33,AVTZOXU568VNT,1111,B000000OYQ,115,3
34,ADXSUMA0L8EOF,3098,B000003S7Y,1250,5
35,A2K150EBPF8LT7,396,B00007FGLS,2136,3
36,A1NI0VOVXZBM7Y,509,B000005Z0E,1336,3
37,A3EISFBTLEQC69,1839,B001EYGOEM,2885,5
38,A3LH77PBDFEO3F,1898,B000VS6P96,2758,5
