user,item,error
0,0,0.7203565
1,0,0.0
2,0,0.55723166
3,0,0.09242087
4,0,1.0
5,0,0.25946736
6,0,0.7307238
7,0,0.0
8,0,0.13259658
9,0,0.095256
10,0,0.0
11,0,1.0
12,0,5.8944854e-05
13,0,0.04459587
14,0,0.011349799
15,0,0.5805373
16,0,0.30389178
17,0,0.0
18,0,0.094422795
19,0,0.120733276
20,0,0.0
21,0,0.014155997
22,0,0.02068935
23,1,0.015125634
24,1,0.102050066
25,1,0.60240585
26,1,0.4976107
27,1,0.016002161
28,1,1.6176367
29,1,0.9173478
30,1,0.8104058
31,1,0.7599782
32,1,0.114686884
33,1,0.59878844
34,1,0.07225178
35,1,1.1515243
36,1,0.61613154
37,1,1.043687
38,2,0.37520322
39,2,0.2634685
40,2,1.0543998
41,2,0.09202381
42,2,1.4931508
43,2,0.0
44,2,7.170958e-05
45,2,0.34276587
46,2,0.0
47,2,0.017488884
48,2,0.09164868
49,2,0.0
50,2,3.4251378
51,2,0.0
52,2,0.05002166
53,2,0.0
12,2,0.0
54,2,0.10380504
13,2,0.0
55,2,0.028146263
56,2,0.022230972
57,2,0.08587735
58,2,0.47283068
59,2,0.17589654
60,2,0.37313697
61,2,0.0
62,2,0.04414048
63,2,0.0
64,2,0.0030658736
65,2,0.11790424
66,2,0.0
67,2,0.43449333
68,2,0.04527837
69,2,0.004173929
70,2,0.0
71,2,0.0
72,2,0.028662518
73,2,0.0
74,2,0.0
75,2,0.0
76,2,0.0
77,2,0.41359144
78,2,0.2442579
79,2,1.1237012e-07
80,2,0.0
81,2,0.0
82,2,0.1517111
83,3,0.76926845
84,3,3.4843442
85,3,0.025793491
86,3,0.0
87,3,0.031636648
88,3,0.0008519763
89,3,0.0
90,3,0.0
91,3,0.014872537
92,3,4.4202332
93,3,10.595019
94,3,0.1193373
95,3,0.20696722
96,3,0.12835512
97,3,0.18036747
98,3,0.0044347774
99,3,0.5327114
100,3,0.31841895
101,3,0.006969846
2,3,1.8306314
102,3,0.0
103,3,0.36196005
104,3,0.0382424
105,3,0.00038677797
106,3,0.015686812
107,3,0.0
108,3,1.3626388
109,3,0.08853215
110,3,0.055128064
111,3,0.0
112,3,0.28769565
113,3,0.7956797
114,3,0.021539893
115,3,0.92065275
116,3,0.20099716
117,3,0.13709265
118,3,0.3691331
119,3,0.30384448
120,3,0.0
121,3,0.51439404
