user,item,error
2718,1920,0.55883706
1038,1530,1.4371063
5502,3272,5.7547433e-05
2424,2446,0.32752123
573,1035,0.2269655
3392,1950,0.11377487
294,579,0.0012259074
2421,2468,0.08366578
4295,1750,1.0883315
5537,3474,0.26616722
4855,2225,0.06695549
930,2289,0.48290196
5451,3200,0.0
183,1002,0.789037
239,825,0.0
829,81,0.0
4615,2044,0.0
844,2450,2.689562
380,2124,2.9581254
2850,3004,0.013246178
304,1476,0.3195188
1436,1191,1.0
1710,520,1.3201761
904,239,0.045546837
858,245,0.40614402
3916,1820,0.0008256821
1391,2254,0.9288138
972,815,0.40077248
4652,2419,1.5651876
3585,1595,1.7076088
220,1124,0.7327016
319,1970,0.0012778175
935,93,1.0399963
1111,115,0.29881155
3098,1250,0.3539686
396,2136,1.3333471
509,1336,0.6804839
1839,2885,0.38588065
1898,2758,0.26991174
514,1196,0.14977202
482,1468,2.1992807
4004,1524,0.33956683
3892,2225,0.07026335
1283,1296,0.13317472
1388,2372,1.1526115
2076,1273,0.0011496157
4868,2714,1.0542202
4130,1972,0.2176679
3496,3224,7.413314e-06
3340,1308,0.0
401,1070,0.0
5459,3281,0.54171014
772,1430,0.99471503
5,1920,1.2179972
319,608,0.18822235
107,1217,0.0036654621
3916,2007,0.30655304
184,3507,1.0676295
1828,2693,7.117354e-05
539,1211,0.001351357
1367,731,0.2130009
307,1198,0.87158036
3297,677,0.021900684
208,1062,0.23917541
2343,343,0.31989813
408,1512,0.038963314
279,463,0.010735534
983,2164,0.0022863962
2226,397,0.28837943
1264,345,1.7412091
1294,1216,0.098429054
3018,1966,0.41469368
537,1840,0.09481941
4888,2422,1.0
438,231,0.006700758
904,834,0.041279722
2503,3034,0.3185422
319,868,0.3833239
840,1988,0.09954673
109,2306,0.03847728
37,592,0.11180562
4517,1914,2.620693
5138,2571,0.0022181917
348,1193,0.9829198
3000,1451,0.7026853
836,852,0.0
3566,1908,0.068943456
2300,1969,0.34857973
3950,1857,0.37516904
921,1680,0.0
2835,1410,0.1142326
3392,2257,0.48419645
4053,2346,1.2158526
4070,1920,0.03903705
226,1439,0.04702694
4730,2234,0.40199688
90,3,0.0
218,1910,0.3146783
1595,2891,0.047898512
408,2105,1.8565692
120,3279,0.15327747
222,1958,2.9447193
126,1582,1.4394228
4217,2329,0.72436666
1848,3165,0.14545368
2785,3077,0.0
4921,2258,1.374794
1023,106,0.18377058
2803,2432,0.0
2621,424,0.76738006
4817,2389,1.749046
0,0,0.6747554
3903,2583,0.48443007
2361,1777,0.004015574
2860,1565,2.5486887
2749,3209,0.0
77,240,0.020986017
1155,2598,0.0017650261
1197,823,0.36256105
858,2629,4.6096575e-05
367,321,2.4169865
1582,987,0.079507634
646,1795,0.019556861
1757,240,0.007850157
4212,3270,0.22219977
2045,649,0.066378556
1473,169,0.0
2320,2224,0.061394617
1572,2707,0.070737116
61,2,0.0049364744
1437,1673,0.10625624
1780,1598,0.022734165
77,2618,0.25222364
4895,2149,0.027041662
2329,757,0.29810482
292,2413,0.26875582
2297,1199,0.108871624
2025,2450,0.074021526
1022,1149,3.3542404
2368,1097,1.2542278
3848,2287,0.11977223
344,1693,0.06812307
2291,2122,0.0
593,966,0.3606565
2679,439,0.3808745
3676,917,0.17549759
1615,178,0.0
2164,1310,0.10063895
1722,1990,0.15168287
25,2240,0.048244566
1452,2146,0.00038983178
266,384,0.03317771
1786,745,0.0027487709
1148,2541,0.16151617
555,1734,0.010055322
1042,1841,0.34771767
657,246,0.09320197
294,751,3.8817766
1796,2723,0.0
3194,2953,0.002719549
86,1614,0.17304003
494,580,0.055150457
1387,2256,0.18226084
1213,2003,1.8660672
5176,3145,0.018727237
1908,1948,0.009120522
858,3270,0.057131752
5308,2864,0.31861326
1999,650,0.0
1398,2124,0.32103512
1097,947,0.173323
2995,788,0.0
4341,1777,0.009680237
2894,1046,0.0
1224,1836,0.008895374
1536,2079,0.07194066
4635,3358,1.3994317
472,2584,0.033283066
1370,1481,0.2347254
77,889,0.018304843
4634,3182,1.117275
430,2658,1.8787455e-07
1270,2722,0.11345936
3605,2395,1.5966979
5237,2855,0.87906986
130,844,0.47378135
2723,964,0.41581708
1030,1330,0.3437062
4098,2065,1.5726546
88,1136,0.068794295
3602,1108,0.031006597
1239,1787,0.023919564
1011,1110,0.23938884
346,106,0.20038237
162,638,0.4424863
357,33,0.053808235
582,1353,0.061886158
187,1327,0.0
87,280,3.4380608
2967,631,1.6074423
294,142,0.7623591
1064,360,0.7518058
2577,432,0.2741421
54,1035,0.2475119
1496,1673,0.67358553
690,3216,1.2223173
2166,290,0.015807563
3335,1657,0.33211032
1477,2419,0.13305728
5024,2432,1.1524277
3395,905,0.054966513
2861,2989,0.001135625
4694,2164,0.0
3474,2124,0.6458823
1193,2405,1.1481911
3088,2200,0.037305556
2649,520,0.044203416
111,2464,1.0962428
307,2655,0.7235082
3699,1828,0.008263493
1843,1078,0.023565056
4359,2192,2.6527157
878,2316,0.010987235
737,874,0.409598
1193,1145,1.2159937e-05
4884,2245,0.59934205
741,987,0.0
3506,3003,0.7136129
2329,994,0.013983827
1759,645,0.27501312
729,183,0.884191
1989,3156,0.19186297
1920,1853,2.1522338
264,2590,0.9311945
4532,3033,0.17418604
209,106,0.026376627
479,2586,2.1879082
1906,2006,0.050855245
