,user,user_id,item,item_id,rating
0,A11N155CW1UV02,0,B000H00VBQ,0,2
1,A3BC8O2KCL29V2,1,B000H00VBQ,0,5
2,A60D5HQFOTSOM,2,B000H00VBQ,0,1
3,A1RJPIGRSNX4PW,3,B000H00VBQ,0,4
4,A16XRPF40679KG,4,B000H00VBQ,0,5
5,A1POFVVXUZR3IQ,5,B000H00VBQ,0,5
6,A1PG2VV4W1WRPL,6,B000H0X79O,1,3
7,ATASGS8HZHGIB,7,B000H0X79O,1,3
8,A3RXD7Z44T9DHW,8,B000H0X79O,1,5
9,AUX8EUBNTHIIU,9,B000H0X79O,1,3
10,AXM3GQLD0CHIL,10,B000H0X79O,1,4
11,A398QSASJOIKA6,11,B000H29TXU,2,4
12,A2U61O0KWJH3MM,12,B000H29TXU,2,3
13,A2LSZFEFTDRDIJ,13,B000H29TXU,2,3
14,A39F2EW27YYUDM,14,B000H29TXU,2,5
15,AO1Z63O9CTT95,15,B000H29TXU,2,2
16,A1378ZJMWCTVT3,16,B000H2DMME,3,3
17,A2JE0JYIZL5NU4,17,B000H2DMME,3,3
18,A2LSZFEFTDRDIJ,13,B000H2DMME,3,5
19,A3RXD7Z44T9DHW,8,B000H2DMME,3,5
20,AAWV26JJ1SGS0,18,B000H2DMME,3,3
21,AS2AMJR6JJZSS,19,B000H2DMME,3,5
22,AXM3GQLD0CHIL,10,B000H2DMME,3,5
23,AYCGI5JRRISTJ,20,B000H2DMME,3,5
24,A1939G7K0LLQ8P,21,B000H2DMME,3,3
25,A2LUBUMIQEVWD3,22,B000H2DMME,3,3
26,A3DG93E8TXMKZF,23,B000H4YNM0,4,3
27,ALLV1OUJL3WN6,24,B000H4YNM0,4,5
28,A2MOIORZE53NL8,25,B000H4YNM0,4,5
29,ALZWY9L4E5GXO,26,B000H4YNM0,4,5
30,A2WDV8ACOG5LSA,27,B000H4YNM0,4,3
31,ADJ9W8DJJKDJO,28,B000H4YNM0,4,1
32,A3NFIJUVEAJGP,29,B000H4YNM0,4,1
33,A2REG1E0F7XXJL,30,B000H4YNM0,4,5
34,A1NF9WS7RR82MX,31,B000H4YNM0,4,5
35,AL6Q4IIX5MFQZ,32,B000H4YNM0,4,3
36,A356RFKNIG043B,33,B000H4YNM0,4,5
37,A3BB3I7M3IQ9Q0,34,B000H4YNM0,4,4
38,A2QWF2BJ2FM4R2,35,B000H4YNM0,4,5
39,AN6NGSXZXMZZ9,36,B000H4YNM0,4,1
40,ATC7DTGWH0QRV,37,B000H4YNM0,4,5
41,ATECU14VUIOJ0,38,B000H4YNM0,4,4
42,A1MNUAXPWP8BUJ,39,B000H4YNM0,4,3
43,A3RA13OPEIKLQ9,40,B000H4YNM0,4,5
44,AJKWF4W7QD4NS,41,B000H4YNM0,4,5
45,AHYJONIS0LE1X,42,B000H4YNM0,4,5
46,A1JVOV54H4ZVFC,43,B000H4YNM0,4,4
47,A21OAQRLS6OAW3,44,B000H4YNM0,4,5
48,A3UKF6Q4NCPQR3,45,B000H4YNM0,4,5
49,A9W4HRJ4P6G5A,46,B000H4YNM0,4,5
50,A1GUJPIEN0XH4Q,47,B000HAB4NK,5,5
51,A5M1M9IJEQ8J2,48,B000HAB4NK,5,5
52,AD342OQX4EFN7,49,B000HAB4NK,5,5
53,A2PUHH4ET0N0JE,50,B000HAB4NK,5,5
54,A32ZOSZVX052IJ,51,B000HAB4NK,5,5
55,A1S23DO741NAPV,52,B000HAB4NK,5,5
56,A7WT61P4D6W0H,53,B000HAB4NK,5,2
57,A2HVL790PBWYTU,54,B000HAB4NK,5,5
58,A2BFIYZYNK54QX,55,B000HAB4NK,5,5
59,A1ZR8F86DJRVLX,56,B000HAB4NK,5,5
60,A3ENBNVNDMFOPK,57,B000HAB4NK,5,5
61,A691XU34BVWME,58,B000HAB4NK,5,1
62,A2VN9XRV211S63,59,B000HAB4NK,5,5
63,A2QWF2BJ2FM4R2,35,B000HAB4NK,5,4
64,A3UJB66XI5OOTR,60,B000HAB4NK,5,5
65,A2I6MHMAZZDCRX,61,B000HAB4NK,5,5
66,A331OF34UX4Y1K,62,B000HAB4NK,5,4
67,A3LZGLA88K0LA0,63,B000HAB4NK,5,5
68,A3TV5LHUDB7H06,64,B000HAB4NK,5,5
69,A3T5NSG7LMRY0A,65,B000HAB4NK,5,5
70,A18HCHX9MHJ42Q,66,B000HAB4NK,5,5
71,A10KVORU2FMSOG,67,B000HAB4NK,5,5
72,A36EKEC9C4P2QH,68,B000HAB4NK,5,5
73,A2FYMNCON6I16U,69,B000HAB4NK,5,5
74,ARMVAHWQQ9S8A,70,B000HAB4NK,5,5
75,AER15RIMV8E6D,71,B000HAB4NK,5,5
76,A2XPJRP7EGX732,72,B000HAB4NK,5,5
77,ACZ77TXF1LNMJ,73,B000HAB4NK,5,5
78,A32ROCXVVJRKSM,74,B000HAB4NK,5,5
79,A2U5WUR3YCVOLI,75,B000HAB4NK,5,4
80,AQP1VPK16SVWM,76,B000HAB4NK,5,5
81,A2DO8VDL44621,77,B000HAB4NK,5,5
82,AP3B615GM191G,78,B000HAB4NK,5,5
83,A279AT4OT92T2E,79,B000HKWE3O,6,5
84,A1F8K8UJAT9BSM,80,B000HKWE3O,6,5
85,A10KVORU2FMSOG,67,B000HKWE3O,6,4
86,A2PI7R368PGMVD,81,B000HKWE3O,6,5
87,A2YODUWYK547ID,82,B000HKWE3O,6,5
88,A31JTMZQF2Z1GT,83,B000HZEHL6,7,4
89,A3AP3CDXP7HF6Y,84,B000HZEHL6,7,5
90,AB0GGIQBNB36Q,85,B000HZEHL6,7,4
91,A2F7CCPK4QL359,86,B000HZEHL6,7,5
92,A89NXH5WEOEJM,87,B000HZEHL6,7,5
93,AVK8EK50NY2O7,88,B000HZEHL6,7,5
94,A2BHEPYIDR182L,89,B000HZEHL6,7,5
95,A1SDA5A53Z5AQ9,90,B000HZEHL6,7,5
96,A1UOTG037037XY,91,B000HZEHL6,7,4
97,A1BLPBS90I0GRK,92,B000HZEHL6,7,5
98,A1U11PS71ML0YJ,93,B000HZEHL6,7,5
99,A2TXR85WQLE32N,94,B000HZEHL6,7,5
100,APL6O92MS25MJ,95,B000HZEHL6,7,4
101,A32B6XWNR55SRL,96,B000HZEHL6,7,5
102,A3CRNB557EW50L,97,B000HZEHL6,7,5
103,A2RD1DGD4B61ZT,98,B000HZEHL6,7,5
104,A2SFUXVK5RP8VE,99,B000HZEHL6,7,5
105,A1NKDHSM1D0O00,100,B000HZEHL6,7,4
106,AJ7SBFCIXPJM1,101,B000HZEHL6,7,5
107,A3KX8D6NEZN50Z,102,B000HZEHL6,7,5
108,A277Q2EXN4LSO8,103,B000HZEHL6,7,5
109,A317L56T9Q55C2,104,B000HZEHL6,7,3
110,A1XYM0DQWWHQEK,105,B000I5PVD8,8,5
111,ADNPIJY4C1OYU,106,B000I5PVD8,8,3
112,A2B913IHK6DJXN,107,B000I5PVD8,8,2
113,A1THRWHZHFQ5TC,108,B000I5PVD8,8,3
114,AUK6ECH59NWS7,109,B000I5PVD8,8,3
115,A2Z7UOGHVYUKBZ,110,B000I5PVD8,8,4
116,A2D71Z5MH6B5H2,111,B000I5PVD8,8,5
117,A2LY80X4P9WNMS,112,B000I5PVD8,8,5
118,AOSKVP0O69GI,113,B000I5PVD8,8,4
119,A3G3IGM853CTM1,114,B000I5PVD8,8,3
120,AUK6ECH59NWS7,109,B000I5Q0ZG,9,4
121,A2U3LZ2KJB1071,115,B000I5Q0ZG,9,5
122,A2Z7UOGHVYUKBZ,110,B000I5Q0ZG,9,4
123,A1IDIJQ3VUMMP9,116,B000I5Q0ZG,9,4
124,A2PI8HT5LKH9BQ,117,B000I5Q0ZG,9,3
125,A3K0E9JKGAHI5T,118,B000I5RENI,10,5
