,user,user_id,item,item_id,rating
0,A1PTBXZG04GT29,3569,B0071UYJFE,660,5
1,A1WXL7PNTEE26T,1834,B00BN4PXO0,1098,2
2,A2ZJGGVY37EFXW,3279,B006Z48TZS,652,5
3,AZAC7B4HD5ZVC,952,B000VU2SW2,63,5
4,A1X6HVKSALJZO0,4368,B00EC7VQX2,1320,5
5,AIM88OP5TAGDV,1452,B008QTTGGG,822,5
6,A6J7GN6ZOR085,1202,B00JWMPH14,1635,5
7,A1LCYQ9PP8UQK9,2240,B005HFXHIU,542,5
8,A3VRRMAMEKA85K,4481,B009IG59DK,900,5
9,AT5T7X6AX2FKG,2944,B00AVTLVY4,1018,4
10,A3NWP4CG5S2PDE,2410,B00I3MNGCG,1555,4
11,A3VNYHAEKTHVPY,3356,B006Z48TZS,652,5
12,A3SD05LWUYEFJ3,4781,B00I3MMN4I,1549,4
13,ARMVAHWQQ9S8A,70,B000MVN8GK,38,5
14,A39PHWZ3ERBGKF,2286,B0036DCJCU,267,5
15,AK5G4AS04PYT8,1567,B007JF8G9Q,701,4
16,A13FDF4FL5UP6P,2433,B00D6BR75Q,1245,5
17,AV663ODS3GJQV,1156,B008BF99F8,784,5
18,A2E3B7Y6DSCXXA,3945,B00BHLTQ6U,1076,5
19,A1QMUYUDT6YNOQ,4061,B009IF7092,898,5
20,A16QODENBJVUI1,222,B000IBUIS0,16,4
21,A3LWGRSAKCC7BL,1789,B00I3MMN4I,1549,5
22,A7THV22CLFI77,2881,B00DGN97VQ,1267,4
23,AUX8EUBNTHIIU,9,B006Z48TZS,652,1
24,A3QLAOOTFEHCJI,570,B00AF6073Y,982,2
25,A34GZPHWYPSY2T,819,B003XU02QG,351,3
26,A1BMLPBCROVT7S,942,B0084YC47G,762,5
27,A1IOOUKA0DF3GY,4078,B00ESNKDHA,1351,4
28,A39YKEKCLUVL0L,1918,B005DJRD80,528,5
29,A31MUANJIPSP0R,1792,B00F49E8O6,1396,5
30,AB7YLOOGG13JB,3080,B00ATF4P8O,1014,5
31,AZSZQXY81ZSM3,4021,B00K5M7LSC,1642,2
32,A3R518K6R04WBW,2386,B003AIE43I,279,5
33,A3JV4PJZD5O4NJ,2643,B005544TRQ,504,3
34,A300SS3LT4L0S3,4385,B00KBN95IE,1645,5
35,A18MT5TH096FTF,2858,B0040HNZTW,361,5
36,A1LYQL40IB7SBL,4969,B00JQ306BK,1632,5
37,A2X05OHN9XT4J9,4379,B0099JKR6U,865,5
38,A2Z5450HXNEXZU,2795,B003VXMFY2,346,5
39,A344FO8O8Y6JOD,2081,B003R7R1ZK,326,3
40,A1DCZ9882PXLVB,1965,B00ESNKDHA,1351,5
41,A2XIK5M8J6QAMU,2221,B00F3KFI4U,1389,5
42,A3O525RUTSDST6,2692,B003RRW3BC,328,5
43,A31LUN0ZSQ6A74,563,B003925164,275,5
44,A38M39FXVQRQQ5,3638,B00GBUQXSG,1472,2
45,A1GQAKL9CGQLP1,921,B00F2C1RPS,1378,5
46,A2S5DW25T7QDSN,3330,B00B8P8O9K,1057,5
47,A23E2TB2ER0NV0,3331,B004TJRCNG,464,4
48,A1YYJFKDMKJDX0,2411,B008EQHT4M,795,5
49,AZ4EUUJVC8358,2380,B00DAHSVYC,1257,5
50,A3T0OTH5072YRE,941,B001ENSOVO,119,4
51,AN175XHIN3P8C,1655,B00I3MNGCG,1555,5
52,A1E0GXUW9GPXRJ,868,B005KP7EK4,556,3
53,A3ICZKIG11O01I,2892,B00524HBY2,498,5
54,A1GVA2HN1RONVK,3382,B00B7FZE3U,1054,5
55,A17WZ9XKE59EJP,2420,B003V61JUK,341,5
56,AE1DHOG3T7OV1,3319,B007PYFAP4,724,3
57,A2VS4DCHXJH3WS,3458,B005TPRNGA,577,5
58,A2EKSOLTKBGWTK,1856,B0029Z0QVM,189,3
59,A2IZQJE7DC1T5S,3774,B00H7NDSPC,1495,5
60,A3CKKBE22L800M,649,B007A1DSQ0,681,5
61,A1IZQA5B1E7ND6,1600,B00CDBTQCW,1184,5
62,A10YNQ7SPY4X63,1195,B001ALX4I8,105,5
63,ANKPHTVQ4QJJG,4091,B00BIESC3O,1078,3
64,A1E2UQ6GIJCUDA,4300,B00BPDFXDA,1109,5
65,A7U1GDJI4UPHI,3714,B00D5OZQUC,1236,5
66,A392CZ6KK0MH5X,1223,B0012QRPU4,95,5
67,A3UTCZCLWFCO2V,1936,B00HZKJK0Y,1542,5
68,A2L24AUZ5CW6E4,185,B007T05BSK,732,4
69,A247V1Z9O671OA,2948,B00DMLRI0O,1278,1
70,A6X01I8L1SV9F,3365,B008ZXSW2C,840,3
71,AXO4PQU0XG3TG,1653,B008ZXSUO2,839,4
72,A3RPLCEFOTTVO6,2181,B002TUO2SU,244,5
