user,item,error
0,0,1.4886106
1,0,0.39251557
2,0,4.9946713
3,0,1.1507153e-05
4,0,0.6369103
5,0,0.66751224
6,1,0.9978368
7,1,0.06713069
8,1,1.2761363
9,1,0.028041482
10,1,0.0020805285
11,2,0.0005270278
12,2,0.92364055
13,2,0.061957233
14,2,0.833086
15,2,0.6329979
16,3,0.7510899
17,3,0.7016908
13,3,0.94124466
8,3,0.46752146
18,3,1.933379
19,3,0.2227121
10,3,0.25382876
20,3,0.0
21,3,0.9992782
22,3,0.9247641
23,4,2.1346588
24,4,0.12356702
25,4,1.1597917
26,4,0.22876962
27,4,1.7956567
28,4,2.8391068
29,4,4.237111
30,4,0.047646504
31,4,0.35420918
32,4,1.436614
33,4,0.3495128
34,4,0.16684437
35,4,1.5084752
36,4,12.652806
37,4,0.020621367
38,4,0.017576266
39,4,0.834942
40,4,0.33774313
41,4,0.27505612
42,4,2.7555275
43,4,0.2255615
44,4,0.4571773
45,4,0.31302768
46,4,2.0514972
47,5,0.0
48,5,0.0
49,5,0.427384
50,5,0.002226914
51,5,0.0
52,5,8.2445185e-05
53,5,6.524952
54,5,0.21522807
55,5,0.20647335
56,5,0.18650262
57,5,0.042729165
58,5,2.5943358
59,5,0.0627881
35,5,0.025203094
60,5,0.0784132
61,5,0.6965141
62,5,0.00063298136
63,5,0.30875194
64,5,0.04865895
65,5,0.0
66,5,0.0
67,5,0.0
68,5,0.03517968
69,5,0.0
70,5,0.0
71,5,0.031206924
72,5,0.0
73,5,0.25071195
74,5,0.0
75,5,1.0
76,5,0.5099271
77,5,0.34086233
78,5,1.1124195
79,6,0.021162394
80,6,0.17416136
67,6,0.24177
81,6,0.06137264
82,6,0.0021435074
83,7,0.06839665
84,7,0.0
85,7,0.064860284
86,7,0.08721279
87,7,0.0
88,7,0.0072786068
89,7,0.0
90,7,0.0
91,7,0.023962134
92,7,0.0
93,7,0.0
94,7,0.0013623171
95,7,0.39646348
96,7,0.0063408446
97,7,0.046209075
98,7,0.00028910403
