user,item,error
3569,660,1.171368
1834,1098,3.0685904
3279,652,0.0
952,63,0.012997052
4368,1320,0.0
1452,822,0.0047019944
1202,1635,0.2639313
2240,542,0.1972908
4481,900,4.1169173e-05
2944,1018,0.0021726587
2410,1555,0.2965305
3356,652,0.556663
4781,1549,0.8156133
70,38,0.11071104
2286,267,0.0
1567,701,0.8218717
2433,1245,0.0
1156,784,0.0
3945,1076,0.0
4061,898,0.097591884
222,16,0.103012905
1789,1549,0.43696168
2881,1267,0.30100298
9,652,8.769101
570,982,0.18968593
819,351,0.3096715
942,762,0.7115182
4078,1351,1.0
1918,528,3.156928
1792,1396,0.32244724
3080,1014,0.10505844
4021,1642,0.5716233
2386,279,0.014229505
2643,504,0.5032216
4385,1645,0.1858689
2858,361,0.03187236
4969,1632,2.2269168
4379,865,1.0596023
2795,346,1.0314568
2081,326,0.61575323
1965,1351,0.3031289
2221,1389,0.48370883
2692,328,0.021780603
563,275,0.015516352
3638,1472,0.012367741
921,1378,0.291201
3330,1057,0.14137666
3331,464,0.61579365
2411,795,1.5803924
2380,1257,0.12733011
941,119,0.001195067
1655,1555,0.8126657
868,556,0.28888565
2892,498,0.09225829
3382,1054,0.17568661
2420,341,0.11209983
3319,724,2.154426
3458,577,0.098384485
1856,189,1.9273208
3774,1495,0.060196098
649,681,0.0053464123
1600,1184,0.1291007
1195,105,0.0
4091,1078,0.03446331
4300,1109,0.24442337
3714,1236,0.0010897234
1223,95,0.0
1936,1542,0.0
185,732,0.7233586
2948,1278,0.0
3365,840,0.41502202
1653,839,0.0011652216
2181,244,0.15056548
4533,914,0.01297738
3400,1170,0.82574433
4132,1057,0.3771182
2734,853,0.0
1215,231,0.11552846
286,562,0.07600476
4551,932,0.9974363
151,14,0.00029482364
2949,469,0.22300856
4909,1269,0.0017403124
4845,1551,3.5962126
1389,1551,4.1468835
1444,1183,0.01913347
3574,865,0.0
4519,1291,0.09171307
3834,1388,0.0
4026,823,0.18560196
3790,1565,4.7548714
468,1001,0.009872408
676,658,0.16712378
578,1227,0.0
2782,1029,0.27078992
4508,1391,0.46235633
4812,1183,0.6539357
4894,1557,0.8016558
1620,1001,0.051369034
2577,1001,0.29397628
2047,227,0.0027992504
3231,453,0.0
526,1392,0.9515344
501,1548,1.1129225
3999,795,2.5724225
1695,1184,0.4130666
1748,550,0.1169989
648,529,0.0
1485,1416,0.04268364
5,679,0.08304517
921,1377,0.0
4577,1556,3.743305
2342,269,0.16452108
4033,928,0.09272612
4120,1551,0.53254086
711,45,0.24989845
3827,1257,0.5352927
1680,307,0.60019803
1052,1250,0.7817095
153,123,0.0018308155
4369,865,0.0019366846
1480,195,0.0
1758,885,0.0
5026,1602,0.98014486
3359,470,0.83790135
1146,119,0.10534209
3024,447,0.06416558
4737,1184,2.6180847
1565,1045,1.3788164
3236,785,0.095151834
3484,1288,0.7315853
378,95,1.7588356
1391,652,0.1608756
1658,270,0.34621274
4977,1548,0.0012853969
4023,1645,0.7356303
3798,1168,0.24101351
1257,865,0.15253164
2545,1229,1.8281671
4049,885,0.1091818
734,889,0.7233407
3036,1229,0.02676612
2200,800,0.00014573526
2413,283,0.0010262332
1192,266,0.16984592
4519,1404,0.45042405
750,153,0.019420398
1112,77,0.5797434
2308,504,0.35673174
1869,266,0.32960343
860,649,0.6877961
2569,1362,0.0
4532,1450,0.0
1820,700,0.083515786
2509,357,1.0158523
4849,1183,0.43669632
3755,1291,0.0
2093,227,0.24278581
4394,1363,0.5652851
4858,1555,0.33180535
1022,498,0.59970385
3264,1681,0.47100544
3784,1193,0.0071954895
2506,1229,0.3784441
